Compound,Concentration_uM,Replicate_1,Replicate_2,Replicate_3,Replicate_4,Mean,SEM
IK01,100,43.02292669,53.21256722,54.3447495,41.89074441,48.11774696,2.844572777
IK01,50,45.28729125,47.55165582,56.60911407,53.21256722,50.66515709,2.242142587
IK01,25,73.59184829,80.38494198,88.31021795,97.3676762,84.9136711,4.439396304
IK01,12.5,61.13784319,84.9136711,88.31021795,101.8964053,84.06453439,7.341473167
IK01,6.25,86.04585338,105.2929522,104.1607699,121.1435041,104.1607699,6.214123521
IK01,3.125,74.72403057,79.25275969,78.12057741,81.51712426,78.40362298,1.225623272
IK01,1.5625,80.38494198,87.17803566,70.19530144,88.31021795,81.51712426,3.602581959
IK02,100,51.82567727,55.59481743,60.42402827,38.04475854,51.47232038,4.164975496
IK02,50,50.53003534,63.60424028,66.90223793,59.24617197,60.07067138,3.070626423
IK02,25,88.69257951,89.51707892,100.1177856,108.7161366,96.76089517,4.12134007
IK02,12.5,96.70200236,92.34393404,99.29328622,97.52650177,96.4664311,1.278801575
IK02,6.25,120.0235571,121.9081272,96.70200236,90.69493522,107.3321555,6.907097261
IK02,3.125,102.0023557,103.8869258,88.22143698,98.8221437,98.23321555,3.028545479
IK02,1.5625,95.17078916,99.29328622,87.86808009,86.21908127,92.13780919,2.66530657
IK03,200,-25.2,-9,22.2,-9.9,-5.475,8.613171237
IK03,100,6.5,29.9,-2.2,-7.1,6.775,7.105928423
IK03,50,43.4,49.9,43.5,26.4,40.8,4.360475891
IK03,25,43.5,69.5,55.6,38.1,51.675,6.042803054
IK03,12.5,93.9,77.3,58.3,63.5,73.25,6.898324072
IK03,6.25,90.8,93.9,77.3,63.5,81.375,6.03027518
IK03,3.125,100.8,105.8,107.3,105.8,104.925,1.229519723
IK03,1.5625,96.5,93.3,133.8,86.5,102.525,9.207087963
