Frame #,RMSD,rGyr,intraHB,MolSA,SASA,PSA,Contact_Frequency
0,0.0,5.323,0,369.561,320.618,320.719,6
1,1.32,5.25,0,370.594,393.566,319.089,7
2,0.95,5.305,0,371.015,484.072,317.737,4
3,0.927,5.586,0,375.49,462.449,320.301,1
4,1.668,5.016,0,368.806,471.962,316.826,2
5,1.216,5.226,0,372.267,479.063,313.46,3
6,0.815,5.447,0,372.979,439.324,314.521,4
7,1.313,5.407,0,372.585,384.127,316.293,6
8,0.752,5.293,0,367.702,418.332,310.897,3
9,1.011,5.493,0,374.331,440.188,312.608,2
10,1.019,5.069,0,369.282,372.31,321.325,5
11,1.341,5.116,0,372.028,420.325,318.918,4
12,0.634,5.336,0,367.886,366.768,313.045,8
13,0.816,5.194,0,369.246,427.602,314.35,3
14,1.04,5.153,0,371.858,405.558,317.924,6
15,1.093,5.132,0,371.31,428.133,318.846,4
16,0.912,5.509,0,371.681,440.64,321.741,4
17,1.653,5.119,0,372.253,482.612,318.464,1
18,1.73,5.144,0,367.709,420.427,314.444,6
19,0.953,5.395,0,374.012,439.062,320.405,4
20,1.917,4.898,0,370.149,393.79,317.309,5
21,0.821,5.376,0,372.941,461.565,319.571,3
22,1.206,5.226,0,376.64,443.216,322.354,2
23,0.893,5.329,0,371.26,437.707,319.539,3
24,0.756,5.372,0,373.36,426.867,319.4,3
25,0.993,5.14,0,367.213,418.816,313.701,1
26,1.01,5.341,0,373.835,438.339,317.997,4
27,1.029,5.113,0,370.928,429.94,324.145,3
28,0.871,5.411,0,372.127,437.503,316.328,3
29,0.835,5.388,0,373.86,443.205,318.693,3
30,1.109,5.207,0,375.012,461.193,320.592,2
31,0.897,5.313,0,375.674,440.461,320.918,3
32,1.879,5.303,0,372.151,423.469,316.906,1
33,1.819,5.224,0,367.463,427.866,315.472,1
34,1.951,5.36,0,373.533,414.452,317.219,4
35,1.328,5.105,0,375.029,425.787,322.895,2
36,1.458,5.099,0,370.415,445.037,316.537,1
37,1.007,5.289,0,374.365,419.977,318.132,3
38,1.142,5.307,0,369.371,424.072,314.074,1
39,1.181,5.445,0,373.373,428.732,315.403,2
40,1.181,5.192,0,370.917,431.912,318.12,2
41,0.574,5.322,0,372.93,429.46,319.95,2
42,1.011,5.162,0,370.794,406.057,315.516,2
43,0.844,5.355,0,372.312,417.245,315.933,1
44,1.307,5.313,0,374.35,413.951,318.298,3
45,1.384,5.109,0,370.056,415.805,319.306,2
46,0.736,5.349,0,372.833,413.171,317.629,3
47,1.14,5.06,0,367.73,418.543,315.272,2
48,1.031,5.248,0,371.959,412.908,320.241,2
49,0.653,5.453,0,373.439,402.379,316.423,3
50,1.087,5.228,0,372.174,422.481,318.477,3
51,1.099,5.146,0,369.137,414.205,314.349,4
52,1.032,5.143,0,370.971,420.345,314.805,4
53,0.996,5.411,0,374.959,413.187,319.937,3
54,1.319,5.29,0,373.212,423.441,320.752,3
55,0.805,5.272,0,369.904,367.077,314.497,1
56,1.201,5.26,0,370.386,388.952,315.873,1
57,0.422,5.314,0,368.547,422.822,315.128,3
58,1.056,5.363,0,373.011,437.209,320.332,1
59,1.051,5.245,0,370.354,419.313,319.558,4
60,1.789,5.217,0,370.106,407.647,319.002,4
61,1.814,5.427,0,373.3,445.664,317.42,2
62,2.046,5.054,0,371.348,423.316,316.226,3
63,1.916,5.353,0,371.35,397.154,316.79,2
64,1.707,5.296,0,371.839,432.928,315.384,2
65,0.855,5.252,0,371.805,427.824,320.6,2
66,1.321,5.037,0,370.96,438.156,316.172,1
67,1.127,5.33,0,374.271,417.854,317.274,3
68,1.04,5.283,0,370.588,401.698,317.682,1
69,1.258,5.353,0,370.925,389.05,315.103,3
70,0.88,5.339,0,370.758,433.574,315.559,4
71,0.841,5.241,0,369.889,383.445,315.14,3
72,0.573,5.397,0,370.227,382.198,317.53,5
73,1.167,5.383,0,370.162,425.23,317.719,2
74,1.075,5.226,0,372.452,406.185,315.895,3
75,1.427,4.852,0,367.489,425.305,318.376,2
76,0.726,5.405,0,372.145,436.476,317.773,5
77,0.973,5.309,0,376.377,417.474,320.873,6
78,1.409,5.398,0,372.157,407.287,314.583,4
79,0.941,5.197,0,371.064,425.66,319.354,2
80,0.874,5.333,0,371.646,402.388,315.144,5
81,1.594,5.018,0,371.867,374.376,320.475,3
82,1.099,5.456,0,374.829,416.299,320.079,2
83,1.026,5.189,0,369.566,405.869,317.762,4
84,0.998,5.289,0,375.342,390.801,318.613,2
85,0.912,5.27,0,371.257,472.277,314.753,4
86,1.48,5.173,0,369.458,447.264,315.865,3
87,0.967,5.148,0,371.093,471.322,317.788,4
88,2.06,5.172,0,371.752,457.51,321.568,4
89,1.97,5.246,0,371.164,466.141,315.525,4
90,2.186,5.164,0,369.388,434.631,313.422,5
91,2.182,5.361,0,370.251,456.031,310.719,6
92,1.812,5.343,0,371.959,446.672,316.26,2
93,2.122,5.146,0,367.74,465.377,315.232,4
94,1.974,5.217,0,370.121,428.857,312.426,6
95,1.877,5.353,0,374.381,443.009,314.374,1
96,1.764,5.315,0,369.85,411.451,316.825,5
97,1.984,5.126,0,371.228,451.925,317.794,5
98,1.919,5.184,0,371.805,464.267,313.274,3
99,1.774,5.191,0,366.397,459.76,312.6,3
100,1.946,5.188,0,371.963,466.071,319.207,5
101,2.006,5.144,0,370.223,465.532,318.28,4
102,1.797,5.319,0,371.333,430.523,312.536,5
103,1.859,5.304,0,369.872,433.323,313.291,6
104,0.98,5.124,0,370.934,449.233,317.326,4
105,1.004,5.35,0,370.413,447.203,316.471,6
106,0.723,5.218,0,371.038,464.567,317.73,6
107,1.846,5.383,0,372.428,435.201,314.789,2
108,2.079,5.281,0,370.86,418.77,316.22,6
109,1.824,5.218,0,368.32,450.811,312.74,5
110,1.978,5.164,0,372.546,452.558,318.053,3
111,1.844,5.424,0,373.236,467.018,317.254,2
112,1.921,5.334,0,372.563,473.044,314.789,5
113,1.883,5.387,0,371.956,475.41,316.337,4
114,2.093,5.294,0,369.248,448.135,315.628,6
115,1.855,5.316,0,372.675,454.03,319.771,5
116,0.817,5.375,0,370.462,495.79,314.504,2
117,0.817,5.285,0,371.555,452.687,316.276,2
118,1.023,5.343,0,374.598,440.007,317.125,3
